B,Delta,h,tau_sf_inv,tau_so_inv,Sigma_D_D,Sigma_D_h,Sigma_D_tsf,Sigma_D_tso,Sigma_h_h,Sigma_h_tsf,Sigma_h_tso,Sigma_tsf_tsf,Sigma_tsf_tso,Sigma_tso_tso,x_N,G_N,Sigma_GN,Gamma,Sigma_Gamma,T
-250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-247.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-242.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-237.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-232.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9946312017939952,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-227.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-222.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-217.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-212.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-207.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-202.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-197.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958901825897324,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-192.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686150031138252,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-187.5,0.349588212663062,0.2528237865186729,0.0329634085984285,1.1923166014371712e-12,0.0003041969212809,-0.0001770499323638,0.0001642696637155,-0.0008720865376423,0.0001970895147633,-8.152933320169117e-05,0.0007196658545584,0.0001874202233586,-0.0003704326478486,0.0033971221438042,0.9451167660251246,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-185.0,0.3518328730530147,0.2470182234038066,0.0384999427944884,3.091111899089251e-08,0.0001860454892881,-0.0001064747438997,0.0001037719773453,-0.0005340328066779,0.0001158332731936,-5.702812860940926e-05,0.0004349497425623,0.0001144880591943,-0.0002261759531142,0.0020672520546305,0.899518898659017,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-182.5,0.3347930914283842,0.2373935568041487,0.0491431927872988,3.4617824439111707e-14,0.0001159207687463,-6.33088535265058e-05,6.505732409365606e-05,-0.0003047125455244,7.524573777827409e-05,-3.295886036079749e-05,0.0002584889480829,8.330808822893128e-05,-0.0001129001608581,0.0011666745040828,0.833359633842348,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-180.0,0.3378193901212218,0.2379803653584133,0.052016108711531,1.0498569068852778e-11,5.119395871308669e-05,-2.8141108727126187e-05,2.5162313079919022e-05,-0.0001284109197641,3.4938433213406794e-05,-1.3406087871722614e-05,0.0001158214482976,3.037451737316855e-05,-2.8429952689107096e-05,0.0004904869075844,0.7216013283317032,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-177.5,0.3386463049145982,0.2346292752509158,0.0579122089946728,1.9348862372187624e-14,4.316081651725165e-05,-2.276269601508764e-05,2.3564551186660773e-05,-0.0001092593774704,2.834980846490914e-05,-1.2374185794677165e-05,9.607706704221922e-05,2.985474962316428e-05,-3.063745882330725e-05,0.0004232548974125,0.6569814696697436,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-175.0,0.3364106142527909,0.2261682582929524,0.067133223500754,2.440344192750332e-11,2.7209997717213883e-05,-1.3481764937663213e-05,1.6762263977293905e-05,-6.942470318312221e-05,1.723313781512494e-05,-8.588675467982967e-06,5.985648257580164e-05,2.260315545742731e-05,-2.425670357198351e-05,0.0002784595675363,0.5828494420319966,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-172.5,0.3387008575779366,0.2297901628625255,0.0633906947082892,1.6100997851192803e-14,2.222969611861719e-05,-1.1364089257057608e-05,1.2319866543930892e-05,-5.587959943013418e-05,1.4633296429768283e-05,-6.468199442658146e-06,4.966726675299196e-05,1.5812158504655853e-05,-1.4747582279044486e-05,0.0002226093359551,0.5385082088058986,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-170.0,0.3351344144381693,0.2288457556368851,0.0606778224137225,8.534149732890899e-17,2.081656939530212e-05,-1.0774055495669436e-05,1.162736887594411e-05,-5.272132590572458e-05,1.36484526811781e-05,-6.120955686501924e-06,4.653545701304016e-05,1.4821295002673656e-05,-1.4928549168666523e-05,0.0002080653017242,0.5035395185400314,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-167.5,0.3405212050844224,0.2303806600848406,0.0653181587039656,6.818752577776147e-16,2.1314869960032774e-05,-1.0785717932894004e-05,1.2257926710233577e-05,-5.394227340019469e-05,1.370925781751801e-05,-6.471031666085493e-06,4.704186991148349e-05,1.5876475202612884e-05,-1.6098551180203205e-05,0.0002141914398148,0.4730482473948719,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-165.0,0.3362809777764597,0.2268476783873254,0.0647926057261554,3.7087134080843306e-18,1.8807251598557663e-05,-9.4992086674586e-06,1.0943367870543398e-05,-4.766891559719171e-05,1.2164158061142878e-05,-5.709188564488204e-06,4.18217454626822e-05,1.4266243488765327e-05,-1.437566802942757e-05,0.0001906629415406,0.4324851298838408,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-162.5,0.3387397706699493,0.2222465401287014,0.0617382191003528,4.1383875590765204e-17,1.857982472029652e-05,-9.107815847734638e-06,1.289243396473265e-05,-5.276758164836197e-05,1.1428931111206317e-05,-5.87441716476367e-06,4.1904213232279216e-05,1.982125679449851e-05,-3.069985329479619e-05,0.0002297695694029,0.4222748308302693,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-160.0,0.3386687393793949,0.2239011272008277,0.0641856646654902,4.843860653805529e-22,1.867711339109172e-05,-8.785606513618318e-06,1.2890157652439016e-05,-4.957779345793828e-05,1.1364275105436212e-05,-5.351320301928436e-06,3.7763418548301816e-05,2.1558110669432426e-05,-3.0865012988976373e-05,0.0002082127871306,0.3699620081109556,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-157.5,0.3415518652912254,0.2217717736838499,0.0642836458214124,4.1906686092387203e-19,1.5038076366124384e-05,-7.195114565290544e-06,1.0698116928485508e-05,-4.2317121557245045e-05,9.020940654623624e-06,-4.953901998186057e-06,3.3232008105221575e-05,1.629043503659097e-05,-2.493760348018983e-05,0.000182488726887,0.3605906384785866,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-155.0,0.3375627139254216,0.2184914285282825,0.0650315506118972,2.565686490720454e-20,1.5459159060001148e-05,-7.421405802286728e-06,1.1030683288214423e-05,-4.3863884538813184e-05,9.425332001499084e-06,-5.034749999459563e-06,3.476601574877512e-05,1.7237849952180504e-05,-2.624482009372414e-05,0.000193201647467,0.3326173289248988,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-152.5,0.3387020396335639,0.2192639390095749,0.0639269920473987,2.001145262842523e-16,9.932469445543276e-06,-4.810238158841303e-06,7.069261810196026e-06,-2.8370575195962696e-05,6.0332729693108806e-06,-3.3091156286242977e-06,2.254780226853512e-05,1.0722784235906571e-05,-1.6688024414048274e-05,0.0001242767713393,0.3121955574898946,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
-150.0,0.3424315280009247,0.214992560175215,0.0786848930559016,4.688716171593464e-17,1.2669301243878712e-05,-5.685725910188748e-06,9.666081035690846e-06,-3.503846549961124e-05,7.643870772292733e-06,-4.1979663278715205e-06,2.7702942717480427e-05,1.653752554290823e-05,-2.286957510256534e-05,0.0001594967441503,0.2861781854818632,0.21999654400754287,0.020202156093706736,1e-06,0.0,0.0034468
