B,Delta,h,tau_sf_inv,tau_so_inv,Sigma_D_D,Sigma_D_h,Sigma_D_tsf,Sigma_D_tso,Sigma_h_h,Sigma_h_tsf,Sigma_h_tso,Sigma_tsf_tsf,Sigma_tsf_tso,Sigma_tso_tso,x_N,G_N,Sigma_GN,Gamma,Sigma_Gamma,T
-140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-40.0,0.2614713557238488,0.1774047880787034,0.0135668576400488,0.0001788452124678,0.0257765158326316,-0.0157660075321541,0.0135597439908521,-0.0849694947472859,0.0160893856759505,-0.0079814414387025,0.0674341038677499,0.0121057589079992,-0.0402254015485509,0.3544144292313915,0.9833517976568694,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-38.0,0.2614713557238488,0.1774047880787034,0.0135668576400488,0.0001788452124678,0.000220128993633,-0.0001370108938415,0.0001143823095968,-0.0007161390315976,0.0001425619970114,-6.752610178003644e-05,0.0005793560958808,0.0001026367883217,-0.0003327739074049,0.0029419778611779,0.7859183384919731,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-36.0,0.2658060807758047,0.1728956308769265,0.0236474458763033,2.826026477449333e-07,6.26572377534772e-05,-3.593363485696983e-05,3.702346201028471e-05,-0.0002054803268672,3.891096138342877e-05,-1.9710189818323494e-05,0.0001611041716224,4.133859862187761e-05,-0.0001103980104585,0.0009113938562184,0.3511966847006487,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-34.0,0.2652296760976531,0.1715684599987039,0.0247150513334595,3.2146028448831693e-06,5.830696185418713e-05,-3.3098626983286606e-05,3.4940497972934814e-05,-0.0001902558812742,3.599413597454461e-05,-1.833357985787413e-05,0.0001483056659152,3.986525996138573e-05,-0.0001041580277772,0.0008458456596305,0.2837751438055028,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-32.0,0.2658900689347054,0.1701736674375569,0.0263904583295629,3.427149607510471e-05,5.6289076560432496e-05,-3.154639399901417e-05,3.461009536609695e-05,-0.0001840098376273,3.4354738898132604e-05,-1.8318480338066217e-05,0.0001433637684504,3.9746716544441175e-05,-0.0001019520218077,0.0008215242494248,0.2409071777556713,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-30.0,0.265913847461931,0.1692879472603059,0.0270528112149643,0.0001189938466828,5.499645974853799e-05,-3.067394079628301e-05,3.4218163734361976e-05,-0.0001800863315847,3.341062791952886e-05,-1.8275092546944125e-05,0.0001404208925992,3.923306609715024e-05,-0.0001002830864252,0.0008054311682308,0.2191716690791024,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-28.0,0.2644580280307503,0.1688780322239669,0.0274375219715094,0.0053835346380833,5.270492634140608e-05,-2.8547892746577933e-05,3.217861355660842e-05,-0.0001701853131575,3.1247240744368946e-05,-1.64734211062747e-05,0.0001307152307608,3.788720987145919e-05,-8.879572360149551e-05,0.0007528437026999,0.1857620866284769,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-26.0,0.2638332703602096,0.1663008396649231,0.0235860849200078,0.0157684397665567,6.0749065082243655e-05,-3.6217718895218605e-05,3.881998659684e-05,-0.0002208549787208,3.863081850906656e-05,-2.2903769547953072e-05,0.0001740220551933,4.231367028364085e-05,-0.0001371773649129,0.0010502608684668,0.1835477470724435,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
-24.0,0.2637021040274465,0.1660016533064191,0.0247155993339037,0.0214534865081001,6.553391515034138e-05,-3.925874295673344e-05,4.381382172519378e-05,-0.0002433050248634,4.181117985967034e-05,-2.681477731259598e-05,0.000193232882765,4.7450968271065006e-05,-0.0001576609894449,0.0011703880150815,0.1684539064451549,0.03822367505786623,0.00020868848284747989,1e-06,0.0,0.0034468
