B,Delta,h,tau_sf_inv,tau_so_inv,Sigma_D_D,Sigma_D_h,Sigma_D_tsf,Sigma_D_tso,Sigma_h_h,Sigma_h_tsf,Sigma_h_tso,Sigma_tsf_tsf,Sigma_tsf_tso,Sigma_tso_tso,x_N,G_N,Sigma_GN,Gamma,Sigma_Gamma,T
-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.019078777854000816,0.00011529052497391589,1e-06,0.0,0.0034468
-198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.019078777854000816,0.00011529052497391589,1e-06,0.0,0.0034468
-196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.019078777854000816,0.00011529052497391589,1e-06,0.0,0.0034468
-194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.019078777854000816,0.00011529052497391589,1e-06,0.0,0.0034468
-192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.019078777854000816,0.00011529052497391589,1e-06,0.0,0.0034468
-190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.019078777854000816,0.00011529052497391589,1e-06,0.0,0.0034468
-188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.019078777854000816,0.00011529052497391589,1e-06,0.0,0.0034468
-186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9643920026263654,0.019078777854000816,0.00011529052497391589,1e-06,0.0,0.0034468
-184.0,0.2577689241772037,0.1881375517444088,0.017634025734832,1.96079901625112e-21,0.0001595084527412,-0.00010249834778,7.373659236665822e-05,-0.0004475699042537,0.0001063764862535,-4.4078257756296e-05,0.0003846891001304,6.273885844662766e-05,-0.0001495028989707,0.0016312439632014,0.8884869342857212,0.019078777854000816,0.00011529052497391589,1e-06,0.0,0.0034468
-182.0,0.2533663179021255,0.184038271726092,0.0161624743395044,1.9837090389712525e-21,0.0001602810855672,-0.0001031818219317,6.662898834974317e-05,-0.0004447446245012,0.000101538808378,-4.1388734601472e-05,0.000371153290869,5.240947843664218e-05,-0.00012365206208,0.0015865436645398,0.8772979619459685,0.019078777854000816,0.00011529052497391589,1e-06,0.0,0.0034468
-180.0,0.2526612259651304,0.1853856274032675,0.0145953433661368,5.5550714914180575e-21,0.0001038523530511,-6.902736480425605e-05,4.351180401513146e-05,-0.0002882951654896,6.838223579476878e-05,-2.6771995790600705e-05,0.000247419790376,3.2643887810191024e-05,-8.372992567006204e-05,0.0010223997650015,0.8338517370639709,0.019078777854000816,0.00011529052497391589,1e-06,0.0,0.0034468
-178.0,0.2576618079201828,0.1858384820840437,0.0185935580981356,3.872924390654493e-15,0.0001071660786548,-6.923059220964375e-05,4.803037529625302e-05,-0.000299114531928,7.176791157801332e-05,-2.9597179811261232e-05,0.0002594772850682,3.963747777375744e-05,-9.13763097005744e-05,0.0010968858539893,0.794736334486635,0.019078777854000816,0.00011529052497391589,1e-06,0.0,0.0034468
-176.0,0.259560436623557,0.1866973432501061,0.0201683667157079,1.3682054678817915e-20,5.020630815335493e-05,-3.170057980826882e-05,2.3821018023196933e-05,-0.0001403682020588,3.3263093157339986e-05,-1.437593613928726e-05,0.000120623830288,2.087937954849655e-05,-4.688726274467352e-05,0.0005180422620334,0.7237709200773635,0.019078777854000816,0.00011529052497391589,1e-06,0.0,0.0034468
-174.0,0.2603330473639063,0.1853117278896027,0.0223299298203358,3.8664763296113016e-17,7.329644906755284e-05,-4.553500263860992e-05,3.547835400389216e-05,-0.0002070221361618,4.782743993182362e-05,-2.118302689170824e-05,0.0001762005198001,3.252060987171526e-05,-6.957849932292736e-05,0.0007763259397708,0.7158074024000014,0.019078777854000816,0.00011529052497391589,1e-06,0.0,0.0034468
-172.0,0.2599255769571981,0.1868823181670028,0.021279316375123,2.257613505750092e-21,5.5663135862697055e-05,-3.439989923502803e-05,2.7732215512795315e-05,-0.0001564003652134,3.618046633572197e-05,-1.6218707089230747e-05,0.0001321211797553,2.5865683520137785e-05,-5.690561338394608e-05,0.0005803120755185,0.6827437861921571,0.019078777854000816,0.00011529052497391589,1e-06,0.0,0.0034468
-170.0,0.2624792913102124,0.1804299191841,0.0208521086546954,4.517738698600572e-14,5.299708645847017e-05,-3.116293408983136e-05,2.9159005415981502e-05,-0.0001653220785924,3.2168296395162226e-05,-1.578126441398144e-05,0.0001302891169569,3.025617787446292e-05,-7.59508980125284e-05,0.0006735943834706,0.6519991420024931,0.019078777854000816,0.00011529052497391589,1e-06,0.0,0.0034468
