B,Delta,h,tau_sf_inv,tau_so_inv,Sigma_D_D,Sigma_D_h,Sigma_D_tsf,Sigma_D_tso,Sigma_h_h,Sigma_h_tsf,Sigma_h_tso,Sigma_tsf_tsf,Sigma_tsf_tso,Sigma_tso_tso,x_N,G_N,Sigma_GN,Gamma,Sigma_Gamma,T
-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-68.0,0.3224773199975178,0.2104590558170319,0.0179137408826368,7.036200916271153e-07,0.0546487370693073,-0.03357447741308,0.0272975262260981,-0.1786440046647364,0.0339417578201031,-0.0168859172819482,0.1451197719752112,0.0218330381561107,-0.0738939880825336,0.750206392158579,0.9984128054347292,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-66.0,0.3224773199975178,0.2104590558170319,0.0179137408826368,7.036200916271153e-07,0.0001744890784653,-0.0001070913831044,8.686951965972713e-05,-0.0005713865835059,0.0001076592910484,-5.368043205866866e-05,0.0004621379589071,6.928681054371144e-05,-0.0002355890631563,0.0023975059756322,0.9679208667850476,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-64.0,0.3135638777954213,0.2191612985973637,0.0337863943505538,7.538945743317127e-14,4.7966244492750536e-05,-2.819567843040406e-05,2.458258194101813e-05,-0.0001352976564414,3.119464793893876e-05,-1.417164751975278e-05,0.0001147639142893,2.497573792947975e-05,-4.804056781998245e-05,0.0005226190121178,0.9104430312119564,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-62.0,0.3115740865390933,0.2143866411578729,0.0367248246444116,5.12459830943172e-18,3.582646448719954e-05,-2.0351607799771324e-05,1.784359572484869e-05,-9.593806032565676e-05,2.3683456660221224e-05,-9.017052166684037e-06,8.190914682388292e-05,2.0570199212079946e-05,-2.7902014097085696e-05,0.0003584226359655,0.8749821569688638,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-60.0,0.3166991913350788,0.2132250009579077,0.0439464236897068,1.4058969426894805e-13,2.331444831613369e-05,-1.2853550267183722e-05,1.3372233389705338e-05,-6.605545425035977e-05,1.4770453394333402e-05,-7.476549557661508e-06,5.548713132682874e-05,1.5045369800274948e-05,-2.634617067323965e-05,0.0002670916161117,0.817398077707099,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-58.0,0.3191782176347513,0.2146668714048648,0.0460598479998748,2.2394765454936078e-17,1.741609616148264e-05,-9.43733140569809e-06,1.0371209322742653e-05,-4.9440231533217065e-05,1.0905461537354331e-05,-5.632525101698183e-06,4.102562120743406e-05,1.2241211103390213e-05,-2.1212072492730063e-05,0.0002009892285195,0.784760833805329,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-56.0,0.321710943307449,0.2111765005681712,0.0525271181011443,1.0713919385349019e-16,1.932596906083593e-05,-1.0121536735728367e-05,1.2026391529942488e-05,-5.467203837659974e-05,1.1980338226257422e-05,-6.51987118043535e-06,4.5444570088972354e-05,1.4609901021173806e-05,-2.404757519724675e-05,0.0002274979167775,0.7675166658742556,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-54.0,0.3200015676000285,0.2083210706433508,0.053215483036658,1.291063181810902e-15,1.4155937720482577e-05,-6.912885705320409e-06,9.0802548832782e-06,-3.8048928763437176e-05,7.970257513475455e-06,-5.0270690559476204e-06,2.954958176141704e-05,1.0762145524331571e-05,-1.7844803388692317e-05,0.000150323255586,0.7274742368718499,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-52.0,0.3203783269299958,0.2083439545970286,0.0539854431418547,2.912915907456957e-11,1.541918358342589e-05,-8.012243089576941e-06,9.669958884286251e-06,-4.36082508534763e-05,9.54900142399842e-06,-5.278661843170826e-06,3.636208044455292e-05,1.171947233500628e-05,-1.909638208673343e-05,0.0001829828675992,0.6827562683086067,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-50.0,0.3174923938907458,0.2073420256959362,0.0519617583582766,5.405280427171239e-14,9.180081466190502e-06,-4.605460158358057e-06,5.549520999354766e-06,-2.4981382394888297e-05,5.384827821654529e-06,-2.8351042536993937e-06,1.989158786246392e-05,6.990439383391586e-06,-9.900182568976662e-06,9.946741911088868e-05,0.6319979374146253,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-48.0,0.3174936384820287,0.2066237326556197,0.0539261779421872,1.8577627210161137e-14,1.01236848240434e-05,-4.892480029626506e-06,6.832528792740814e-06,-2.7184288896542952e-05,5.769202812065327e-06,-3.668364210778947e-06,2.107832425718768e-05,8.546562591885171e-06,-1.4250424897302397e-05,0.000107528991853,0.5859159633406265,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-46.0,0.318030714612018,0.203149520410473,0.0585876836200783,8.968470194725737e-13,1.0634725277802976e-05,-5.332234146417396e-06,7.10667565129502e-06,-3.019942996847064e-05,6.466959800403602e-06,-3.777786331177214e-06,2.485925136387312e-05,9.120236397090648e-06,-1.4636500966929898e-05,0.0001294017396209,0.5258049188066832,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-44.0,0.3178058313924314,0.2015061627174048,0.0607770577313705,3.410079981251919e-11,6.517352646925409e-06,-2.69005269297103e-06,4.694634148754537e-06,-1.6627468116390525e-05,3.3231413952925897e-06,-2.259592417420957e-06,1.2200059257977452e-05,6.506702518988717e-06,-8.579632628206711e-06,6.886937067109689e-05,0.4580949987550604,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
-42.0,0.317850759997086,0.200277286328126,0.0619322008789452,1.723260147354682e-13,8.112575203210754e-06,-3.986177968314417e-06,5.572700905164148e-06,-2.3015149164716554e-05,4.897536669701822e-06,-2.9484993209460624e-06,1.891541819312796e-05,7.282437670718431e-06,-1.1498055947906997e-05,9.99083463104018e-05,0.4106490191703028,0.3158460527401614,0.011322649725737577,1e-06,0.0,0.0034468
