B,Delta,h,tau_sf_inv,tau_so_inv,Sigma_D_D,Sigma_D_h,Sigma_D_tsf,Sigma_D_tso,Sigma_h_h,Sigma_h_tsf,Sigma_h_tso,Sigma_tsf_tsf,Sigma_tsf_tso,Sigma_tso_tso,x_N,G_N,Sigma_GN,Gamma,Sigma_Gamma,T
-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9960185457819446,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9866336826386588,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-156.0,0.254427455602506,0.185533763706256,0.0174052978040958,1.7439324969299243e-09,0.0002089910844756,-0.0001327757263187,9.651586001272512e-05,-0.0005925954517838,0.0001324585741217,-5.663848404543595e-05,0.0004917385437589,8.372033814887029e-05,-0.0001993404122539,0.0021487211307433,0.9167002667521642,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-154.0,0.2690234149707809,0.1797345863052571,0.0299502529735117,1.8045413639373682e-20,2.809369715186974e-05,-1.5571872625015965e-05,1.7126063025730466e-05,-8.649556014639622e-05,1.7344601332302985e-05,-8.893894143850049e-06,6.82271870236293e-05,2.100993496875768e-05,-4.529497498829372e-05,0.0003679596230384,0.5763178224542619,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-152.0,0.268910275556164,0.1798157719660127,0.0287684198231739,4.209677927926258e-18,2.6580963930375708e-05,-1.4711492195356788e-05,1.623305257832848e-05,-8.121540084120021e-05,1.6149945953717458e-05,-8.592454695868754e-06,6.380762750209043e-05,1.9159588074791585e-05,-4.209367620230906e-05,0.0003396911884816,0.5490707028333114,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-150.0,0.2677688900784163,0.1766172923041861,0.0311656910020501,8.90791420653035e-15,2.6612953639147825e-05,-1.4397655664383988e-05,1.69429835146103e-05,-8.077135639784501e-05,1.6332449530418205e-05,-9.082169026790832e-06,6.37785193004386e-05,2.064258232576852e-05,-4.4411344015565945e-05,0.0003415988899268,0.4948812109152989,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-148.0,0.2661830438001333,0.1781101068003919,0.0302662106980956,2.501330387240184e-15,2.2248356266824098e-05,-1.229512513688182e-05,1.3528100238544424e-05,-6.790940357010933e-05,1.4161994454662923e-05,-6.877678499642851e-06,5.386599567772343e-05,1.7451027141044108e-05,-3.6963397136986747e-05,0.0002925874845728,0.4600655222014512,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-146.0,0.2675294528393123,0.1773173303543774,0.0309463528195401,3.590743647963817e-21,2.147030900207719e-05,-1.180802353326627e-05,1.339400513973508e-05,-6.612205098697147e-05,1.3431012336396587e-05,-7.080704435834964e-06,5.263169941378201e-05,1.659966416813838e-05,-3.5787874775648736e-05,0.0002839709062614,0.4205079651278574,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-144.0,0.2666394476970349,0.1786475916758649,0.027622921077251,4.900280093444379e-21,2.303379587491468e-05,-1.2768819524990806e-05,1.393039894321062e-05,-7.046738764185269e-05,1.4018735901135406e-05,-7.491160441478915e-06,5.522013123980377e-05,1.6339107078227433e-05,-3.646768842736109e-05,0.0002936562866114,0.4137466378351297,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-142.0,0.268805258497071,0.1764845360487416,0.0304744803789196,8.45336172485213e-18,2.1777798143534406e-05,-1.2118950922534717e-05,1.3127828206386205e-05,-6.627059403192364e-05,1.36760275925656e-05,-7.131931079888055e-06,5.3805154396154726e-05,1.533100355399841e-05,-3.163096988140809e-05,0.0002776702509862,0.3782239353298509,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-140.0,0.2690542262121955,0.1768090763190151,0.0324450321649624,2.042128103741164e-15,1.80960082283818e-05,-9.731545914788532e-06,1.1628982657682502e-05,-5.490709703060744e-05,1.1093785998628497e-05,-6.194123209720944e-06,4.3364352170088806e-05,1.4369810307651175e-05,-3.040247541887148e-05,0.0002334725116932,0.3260511934797248,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-138.0,0.2698227865847311,0.1756941704203252,0.0331055029257667,3.5425112542352714e-18,1.7548844096359062e-05,-9.607751469069417e-06,1.1239346957362045e-05,-5.420710361739573e-05,1.0858251841709393e-05,-6.2023520404987285e-06,4.363969743339422e-05,1.3343854708715273e-05,-2.8928070091590404e-05,0.0002331882386873,0.3220149844788569,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-136.0,0.2692129474710354,0.1758847566846939,0.0323688326623111,1.5657597260862773e-19,1.834026485955923e-05,-9.951557662758484e-06,1.161893407794126e-05,-5.6048812339902975e-05,1.1379440117159325e-05,-6.2545688175922845e-06,4.519786871067928e-05,1.400704599788781e-05,-2.9152332006222653e-05,0.0002407226359425,0.3079884809845734,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-134.0,0.2701736044100084,0.1749143369621091,0.0346653018710966,1.2151947061017893e-17,1.3483833551736337e-05,-7.214321977325735e-06,8.87177209085797e-06,-4.107705903191179e-05,8.236103368723144e-06,-4.815803897815271e-06,3.2753574567157025e-05,1.0796036880268672e-05,-2.2768368512368606e-05,0.0001762001109738,0.2659076160691646,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-132.0,0.2703431904350059,0.1768470236089847,0.0317923888932003,6.09234861356489e-18,1.555799191639593e-05,-8.594923440664972e-06,9.703541508258734e-06,-4.8072932197972606e-05,9.5460781642526e-06,-5.408931203048079e-06,3.85691902662348e-05,1.1212782411053949e-05,-2.4521977164566925e-05,0.0002046822688662,0.2778157870542708,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-130.0,0.271488467551657,0.1740393328126531,0.0348551020656874,1.3607274386581073e-13,1.449088111662007e-05,-7.970649446744821e-06,9.30593612169426e-06,-4.451824915770296e-05,9.047483884027006e-06,-5.311284613563768e-06,3.651880321011845e-05,1.0623916481454409e-05,-2.292299263703617e-05,0.0001915531887245,0.2426980598816294,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-128.0,0.2705389206599771,0.1744238066070914,0.0345722251653605,5.039246416462156e-19,1.654182597441193e-05,-8.915359329787718e-06,1.0568385703548686e-05,-5.0306503781047256e-05,1.0278529190514252e-05,-5.675656800023366e-06,4.093433829591627e-05,1.275160847152203e-05,-2.5506136520189484e-05,0.0002167917646487,0.2613662037269105,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-126.0,0.2711401269277372,0.1734967473458468,0.0372505558222285,1.87114521413242e-17,1.4075656610836129e-05,-7.53035394128143e-06,9.347107905207976e-06,-4.35495656404315e-05,8.628059897416872e-06,-5.031552719024951e-06,3.5016862243043856e-05,1.15588329099583e-05,-2.3901042312289083e-05,0.0001912442436684,0.2224140780034516,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-124.0,0.2724210454633902,0.1694075019418053,0.0341438989731449,1.596403222006803e-20,1.5178093141577885e-05,-8.143562773021398e-06,1.011401637680994e-05,-4.780082380818487e-05,9.2434468027818e-06,-5.519383407414649e-06,3.793715717668232e-05,1.212905125592678e-05,-2.760334564552676e-05,0.0002138041790012,0.2294774437549677,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-122.0,0.2735972522833212,0.1702061899625061,0.0362009338867778,1.2916103999285093e-15,1.6949166192110376e-05,-9.121056767274752e-06,1.129368621976616e-05,-5.378872725764556e-05,1.0519110342217826e-05,-5.9685797775121565e-06,4.286773574773228e-05,1.4307440287019985e-05,-3.1606900524830644e-05,0.0002458443379239,0.1991029393746201,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-120.0,0.2727533000938824,0.1695027069219278,0.0338446725717995,3.131046066401519e-11,1.2800149176570423e-05,-7.021418149937609e-06,8.358772427349833e-06,-4.124399742374517e-05,7.92752138572591e-06,-4.634489106517349e-06,3.330845099204729e-05,9.808222598940487e-06,-2.2791077157191e-05,0.0001876023030309,0.2085893849592077,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-118.0,0.2755434964841304,0.169723100797249,0.0353282214352204,6.914478868032868e-17,1.493278061824663e-05,-8.119593322876549e-06,9.857843230512712e-06,-4.7707477118612186e-05,9.181479081423054e-06,-5.614789554389429e-06,3.861581955346565e-05,1.132209132932685e-05,-2.623355526422785e-05,0.0002155877129292,0.193148853882067,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-116.0,0.2748992899958876,0.168191351846602,0.0377186720493274,2.4647468942258985e-15,1.3909796180097366e-05,-7.423893962794015e-06,9.45567959359284e-06,-4.444789591973231e-05,8.500071401456724e-06,-5.183100285784626e-06,3.566000049874262e-05,1.1514601068380417e-05,-2.566547650809451e-05,0.0002038237077582,0.1517736483255314,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-114.0,0.2732798036322502,0.1671337344431887,0.037225737495482,1.137410408338108e-16,1.2489857889545949e-05,-6.672406500351975e-06,8.476081271298478e-06,-3.999518827158638e-05,7.607046851942888e-06,-4.631801174063919e-06,3.2000205079221066e-05,1.031819448104791e-05,-2.3064672468123136e-05,0.0001834989674547,0.1595440278684787,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-112.0,0.2741665531597792,0.1674376093590827,0.035929247989597,3.4585482645988917e-16,1.4337476167034496e-05,-7.78073150484388e-06,9.52908309051703e-06,-4.595509979174941e-05,8.77347832639052e-06,-5.435362801652683e-06,3.727585097024368e-05,1.086578177239488e-05,-2.5169115466177448e-05,0.000209061679556,0.186992957939469,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
-110.0,0.2754640630955151,0.1660151411235461,0.0389613023091875,2.4643044372629506e-12,1.3199211930639806e-05,-7.024353403547236e-06,8.995315513363433e-06,-4.2204439686829525e-05,8.015131733165688e-06,-5.076456982018231e-06,3.412500726924924e-05,1.0574442424076318e-05,-2.361933681509585e-05,0.0001940527931236,0.1444068896826792,0.01905802355895349,0.00013464538411319678,1e-06,0.0,0.0034468
