magnet_bpar	v_bias	lockin_6_CondX
-0.2	-0.001	0.207891704968237
-0.2	-0.00099	0.208168676392271
-0.2	-0.00098	0.20813770102332
-0.2	-0.00097	0.208414672447354
-0.2	-0.00096	0.208691643871387
-0.2	-0.00095	0.208876205444718
-0.2	-0.00094	0.208845488203842
-0.2	-0.00093	0.209061025146123
-0.2	-0.00092	0.209153176868751
-0.2	-0.00091	0.208937898054545
-0.2	-0.0009	0.208537799538932
-0.2	-0.00089	0.208383955206478
-0.2	-0.00088	0.208907180813669
-0.2	-0.00087	0.209430148292785
-0.2	-0.00086	0.209245586719454
-0.2	-0.00085	0.20847636505718
-0.2	-0.00084	0.207830012358411
-0.2	-0.00083	0.207860729599287
-0.2	-0.00082	0.208014832059816
-0.2	-0.00081	0.207983856690865
-0.2	-0.0008	0.207860729599287
-0.2	-0.00079	0.207584016303328
-0.2	-0.00078	0.207614733544204
-0.2	-0.00077	0.208507082298056
-0.2	-0.00076	0.209737836957694
-0.2	-0.00075	0.210291779805761
-0.2	-0.00074	0.209891681290149
-0.2	-0.00073	0.209122459627875
-0.2	-0.00072	0.208722361112263
-0.2	-0.00071	0.209091742386999
-0.2	-0.0007	0.20958399262524
-0.2	-0.00069	0.210045525622604
-0.2	-0.00068	0.210476341379092
-0.2	-0.00067	0.210815005412952
-0.2	-0.00066	0.210845722653828
-0.2	-0.00065	0.210784030044002
-0.2	-0.00064	0.210291779805761
-0.2	-0.00063	0.210076500991554
-0.2	-0.00062	0.210168652714183
-0.2	-0.00061	0.21041490689734
-0.2	-0.0006	0.210507058619968
-0.2	-0.00059	0.210322497046637
-0.2	-0.00058	0.210076500991554
-0.2	-0.00057	0.209707119716818
-0.2	-0.00056	0.209430148292785
-0.2	-0.00055	0.209122459627875
-0.2	-0.00054	0.209061025146123
-0.2	-0.00053	0.209337996570157
-0.2	-0.00052	0.210230345324009
-0.2	-0.00051	0.211030284227159
-0.2	-0.0005	0.211461099983647
-0.2	-0.00049	0.211491817224523
-0.2	-0.00048	0.211153411318738
-0.2	-0.00047	0.210937874376456
-0.2	-0.00046	0.210937874376456
-0.2	-0.00045	0.210937874376456
-0.2	-0.00044	0.211061001468035
-0.2	-0.00043	0.210937874376456
-0.2	-0.00042	0.210291779805761
-0.2	-0.00041	0.209707119716818
-0.2	-0.0004	0.209737836957694
-0.2	-0.00039	0.210599468470671
-0.2	-0.00038	0.211153411318738
-0.2	-0.00037	0.210968849745407
-0.2	-0.00036	0.210876439894704
-0.2	-0.00035	0.211276538410316
-0.2	-0.00034	0.211768788648557
-0.2	-0.00033	0.212168887164169
-0.2	-0.00032	0.212814981734864
-0.2	-0.00031	0.213307490101179
-0.2	-0.0003	0.212907391585567
-0.2	-0.00029	0.212384165978376
-0.2	-0.00028	0.212199604405045
-0.2	-0.00027	0.212015042831714
-0.2	-0.00026	0.21204576007259
-0.2	-0.00025	0.212568727551706
-0.2	-0.00024	0.213368924582931
-0.2	-0.00023	0.214138146245205
-0.2	-0.00022	0.214230556095907
-0.2	-0.00021	0.214168863486081
-0.2	-0.0002	0.214199838855031
-0.2	-0.00019	0.214291990577659
-0.2	-0.00018	0.214538244760817
-0.2	-0.00017	0.214353683187486
-0.2	-0.00016	0.214045994522576
