magnet_bpar	v_bias	lockin_6_CondX
-0.2	-0.001	0.0123374120146097
-0.2	-0.00099	0.0122499065973242
-0.2	-0.00098	0.0120652933983785
-0.2	-0.00097	0.0117614250289729
-0.2	-0.00096	0.0115854333077185
-0.2	-0.00095	0.0115344788257947
-0.2	-0.00094	0.0115546644412275
-0.2	-0.00093	0.0116681375428166
-0.2	-0.00092	0.0117133357686771
-0.2	-0.00091	0.0116565992178825
-0.2	-0.0009	0.0118104435503373
-0.2	-0.00089	0.0121470167467932
-0.2	-0.00088	0.0121200939886136
-0.2	-0.00087	0.011992191527655
-0.2	-0.00086	0.0122172017702738
-0.2	-0.00085	0.0124412569390166
-0.2	-0.00084	0.0124326096485179
-0.2	-0.00083	0.0120835430532519
-0.2	-0.00082	0.0116306315335789
-0.2	-0.00081	0.0113825446410919
-0.2	-0.0008	0.0116210291692042
-0.2	-0.00079	0.0122614449222583
-0.2	-0.00078	0.0125537749667298
-0.2	-0.00077	0.0123018419659314
-0.2	-0.00076	0.0119633586217235
-0.2	-0.00075	0.0117412136007326
-0.2	-0.00074	0.0117027525176189
-0.2	-0.00073	0.011978743054969
-0.2	-0.00072	0.0121748945788488
-0.2	-0.00071	0.0119325897552325
-0.2	-0.0007	0.0116065998098347
-0.2	-0.00069	0.0115104471020505
-0.2	-0.00068	0.0116065998098347
-0.2	-0.00067	0.0118345010868889
-0.2	-0.00066	0.0120614214772597
-0.2	-0.00065	0.0121768305394082
-0.2	-0.00064	0.0124249174318952
-0.2	-0.00063	0.0125835887593447
-0.2	-0.00062	0.0126316522068331
-0.2	-0.00061	0.012473961766067
-0.2	-0.0006	0.0122364581246381
-0.2	-0.00059	0.0120893251221227
-0.2	-0.00058	0.0120152681775232
-0.2	-0.00057	0.0120450819701382
-0.2	-0.00056	0.0120268065024573
-0.2	-0.00055	0.0116941052271202
-0.2	-0.00054	0.0114315889752637
-0.2	-0.00053	0.0116479519273838
-0.2	-0.00052	0.0121566449239754
-0.2	-0.00051	0.0124489491556394
-0.2	-0.0005	0.0125451276762311
-0.2	-0.00049	0.0123845203882221
-0.2	-0.00048	0.0122777844293797
-0.2	-0.00047	0.0121999071892764
-0.2	-0.00046	0.011816225619208
-0.2	-0.00045	0.0113681152817224
-0.2	-0.00044	0.0110421253363246
-0.2	-0.00043	0.0108498199207562
-0.2	-0.00042	0.0112363667124524
-0.2	-0.00041	0.0118950837459948
-0.2	-0.0004	0.0122864575326859
-0.2	-0.00039	0.0125095318147453
-0.2	-0.00038	0.0127191576241186
-0.2	-0.00037	0.0126749402849416
-0.2	-0.00036	0.0127797402832245
-0.2	-0.00035	0.0128393678684545
-0.2	-0.00034	0.012546082750107
-0.2	-0.00033	0.0123249186157996
-0.2	-0.00032	0.0120124029558953
-0.2	-0.00031	0.0119344999029845
-0.2	-0.0003	0.0121210490624896
-0.2	-0.00029	0.012328764724111
-0.2	-0.00028	0.0123133802908655
-0.2	-0.00027	0.0120970173387454
-0.2	-0.00026	0.0120729856150012
-0.2	-0.00025	0.0123499054134198
-0.2	-0.00024	0.012502820484806
-0.2	-0.00023	0.0124595324066975
-0.2	-0.00022	0.0126316522068331
-0.2	-0.00021	0.0128172462924623
-0.2	-0.0002	0.0127028181169972
-0.2	-0.00019	0.0123451042312324
-0.2	-0.00018	0.0118239178358308
-0.2	-0.00017	0.0114094673992715
-0.2	-0.00016	0.0115902603027133
-0.2	-0.00015	0.0120691395066899
-0.2	-0.00014	0.0124499300423228
-0.2	-0.00013	0.0126268510246458
-0.2	-0.00012	0.0126586007778202
-0.2	-0.00011	0.0126422354578913
-0.2	-9.99999999999999e-05	0.0125114677753047
-0.2	-8.99999999999999e-05	0.0123441491573565
-0.2	-8e-05	0.0125085767408693
-0.2	-7e-05	0.0126749402849416
-0.2	-5.99999999999999e-05	0.01272300373243
-0.2	-4.99999999999999e-05	0.0124979934898112
-0.2	-3.99999999999999e-05	0.0122816305376911
-0.2	-3e-05	0.0121874137904663
-0.2	-1.99999999999998e-05	0.0122037532975878
-0.2	-1e-05	0.0122777844293797
-0.2	0.0	0.012502820484806
-0.2	1e-05	0.0130047763386508
-0.2	2.00000000000001e-05	0.0132220943646469
-0.2	3.00000000000001e-05	0.0130826535787542
-0.2	4.00000000000001e-05	0.0128845660943149
-0.2	5.00000000000001e-05	0.0127278307274248
-0.2	6.00000000000002e-05	0.0126528187089494
-0.2	7e-05	0.0127268498407414
-0.2	8e-05	0.0125970372320308
-0.2	9e-05	0.0123095341825541
-0.2	0.0001	0.0119941274882144
-0.2	0.00011	0.0118931477854354
-0.2	0.00012	0.0121335424612997
-0.2	0.00013	0.0123537515217311
-0.2	0.00014	0.0124653144755683
-0.2	0.00015	0.0124576222589456
-0.2	0.00016	0.012154708963416
-0.2	0.00017	0.0120335436452041
-0.2	0.00018	0.0123335659062983
-0.2	0.00019	0.0125883899415321
-0.2	0.0002	0.0127422600867943
-0.2	0.00021	0.0126268510246458
-0.2	0.00022	0.0125653132916639
-0.2	0.00023	0.0128393678684545
-0.2	0.00024	0.0128643804788821
-0.2	0.00025	0.0124335647223939
-0.2	0.00026	0.0120883700482467
-0.2	0.00027	0.0120835430532519
-0.2	0.00028	0.0122403042329495
-0.2	0.00029	0.0126547546695088
-0.2	0.0003	0.01299899426978
-0.2	0.00031	0.0129643792949777
-0.2	0.00032	0.0129182259952413
-0.2	0.00033	0.0130461026433924
-0.2	0.00034	0.0130066864864028
-0.2	0.00035	0.0126018642270256
-0.2	0.00036	0.0121345233479831
-0.2	0.00037	0.0117190920247404
