magnet_bpar	v_bias	lockin_6_CondX
-0.2	-0.001	0.208507082298056
-0.2	-0.00099	0.208260828114899
-0.2	-0.00098	0.208045549300692
-0.2	-0.00097	0.208230110874023
-0.2	-0.00096	0.208168676392271
-0.2	-0.00095	0.208076266541568
-0.2	-0.00094	0.208322520724726
-0.2	-0.00093	0.208414672447354
-0.2	-0.00092	0.207891704968237
-0.2	-0.00091	0.207860729599287
-0.2	-0.0009	0.208630209389635
-0.2	-0.00089	0.209153176868751
-0.2	-0.00088	0.208999332536297
-0.2	-0.00087	0.209030049777173
-0.2	-0.00086	0.209307021201206
-0.2	-0.00085	0.209430148292785
-0.2	-0.00084	0.208999332536297
-0.2	-0.00083	0.208722361112263
-0.2	-0.00082	0.208537799538932
-0.2	-0.00081	0.208230110874023
-0.2	-0.0008	0.208168676392271
-0.2	-0.00079	0.208507082298056
-0.2	-0.00078	0.208691643871387
-0.2	-0.00077	0.208599234020684
-0.2	-0.00076	0.208722361112263
-0.2	-0.00075	0.209122459627875
-0.2	-0.00074	0.209922398531025
-0.2	-0.00073	0.210661161080497
-0.2	-0.00072	0.210845722653828
-0.2	-0.00071	0.210722595562249
-0.2	-0.0007	0.210599468470671
-0.2	-0.00069	0.210753312803126
-0.2	-0.00068	0.210722595562249
-0.2	-0.00067	0.210384189656464
-0.2	-0.00066	0.209553275384364
-0.2	-0.00065	0.208999332536297
-0.2	-0.00064	0.208537799538932
-0.2	-0.00063	0.208845488203842
-0.2	-0.00062	0.20958399262524
-0.2	-0.00061	0.210168652714183
-0.2	-0.0006	0.21041490689734
-0.2	-0.00059	0.210568751229795
-0.2	-0.00058	0.210476341379092
-0.2	-0.00057	0.210168652714183
-0.2	-0.00056	0.209737836957694
-0.2	-0.00055	0.209491840902612
-0.2	-0.00054	0.209645685235066
-0.2	-0.00053	0.210045525622604
-0.2	-0.00052	0.210753312803126
-0.2	-0.00051	0.211030284227159
-0.2	-0.0005	0.210876439894704
-0.2	-0.00049	0.210691878321373
-0.2	-0.00048	0.210661161080497
-0.2	-0.00047	0.210968849745407
-0.2	-0.00046	0.211614944316102
-0.2	-0.00045	0.211676378797854
-0.2	-0.00044	0.211030284227159
-0.2	-0.00043	0.210353214287513
-0.2	-0.00042	0.210384189656464
-0.2	-0.00041	0.210937874376456
-0.2	-0.0004	0.211245563041366
-0.2	-0.00039	0.211184128559614
-0.2	-0.00038	0.21090715713558
-0.2	-0.00037	0.210968849745407
-0.2	-0.00036	0.211184128559614
-0.2	-0.00035	0.211799505889433
-0.2	-0.00034	0.212507293069954
-0.2	-0.00033	0.21253801031083
-0.2	-0.00032	0.212261038886797
-0.2	-0.00031	0.212322731496624
-0.2	-0.0003	0.212230321645921
-0.2	-0.00029	0.211891915740135
-0.2	-0.00028	0.211891915740135
-0.2	-0.00027	0.212199604405045
-0.2	-0.00026	0.212476575829078
-0.2	-0.00025	0.212753547253112
-0.2	-0.00024	0.213153387640649
-0.2	-0.00023	0.21398430191275
-0.2	-0.00022	0.214722806334148
-0.2	-0.00021	0.215092187608884
-0.2	-0.0002	0.21512290484976
-0.2	-0.00019	0.214969060517305
