magnet_bpar	v_bias	lockin_6_CondX
-0.2	-0.001	0.0372489136754193
-0.2	-0.00099	0.03726414323182
-0.2	-0.00098	0.0372796309162953
-0.2	-0.00097	0.0372489136754193
-0.2	-0.00096	0.037318091999409
-0.2	-0.00095	0.0375103974149774
-0.2	-0.00094	0.0377718811545356
-0.2	-0.00093	0.0379489570137033
-0.2	-0.00092	0.0378720348474759
-0.2	-0.00091	0.0374719363318637
-0.2	-0.0009	0.0371872210655926
-0.2	-0.00089	0.0374412190909877
-0.2	-0.00088	0.0378335737643622
-0.2	-0.00087	0.0378028565234862
-0.2	-0.00086	0.0376180368220808
-0.2	-0.00085	0.0372951186007706
-0.2	-0.00084	0.0370950693429645
-0.2	-0.00083	0.0372256821487063
-0.2	-0.00082	0.0376257806643185
-0.2	-0.00081	0.037933469329228
-0.2	-0.0008	0.037987418096817
-0.2	-0.00079	0.0378872644038766
-0.2	-0.00078	0.0378720348474759
-0.2	-0.00077	0.0378642910052383
-0.2	-0.00076	0.0379182397728273
-0.2	-0.00075	0.0378950082461143
-0.2	-0.00074	0.0376797294319075
-0.2	-0.00073	0.0374874240163391
-0.2	-0.00072	0.0374874240163391
-0.2	-0.00071	0.0377334200714219
-0.2	-0.0007	0.0379489570137033
-0.2	-0.00069	0.038048852578569
-0.2	-0.00068	0.0380411087363314
-0.2	-0.00067	0.0380026476532177
-0.2	-0.00066	0.0382566456786128
-0.2	-0.00065	0.0385336171026463
-0.2	-0.00064	0.0382643895208504
-0.2	-0.00063	0.0378565471630006
-0.2	-0.00062	0.0378028565234862
-0.2	-0.00061	0.0379412131714656
-0.2	-0.0006	0.0380103914954554
-0.2	-0.00059	0.0378642910052383
-0.2	-0.00058	0.0379182397728273
-0.2	-0.00057	0.0380950575039204
-0.2	-0.00056	0.0380795698194451
-0.2	-0.00055	0.0378565471630006
-0.2	-0.00054	0.0376180368220808
-0.2	-0.00053	0.0375103974149774
-0.2	-0.00052	0.037372040766998
-0.2	-0.00051	0.0374719363318637
-0.2	-0.0005	0.0377259343572588
-0.2	-0.00049	0.0377489077558972
-0.2	-0.00048	0.037848803320763
-0.2	-0.00047	0.0380795698194451
-0.2	-0.00046	0.0378950082461143
-0.2	-0.00045	0.0374796801741014
-0.2	-0.00044	0.0371565038247166
-0.2	-0.00043	0.0373565530825227
-0.2	-0.00042	0.037902752088352
-0.2	-0.00041	0.0382411579941375
-0.2	-0.0004	0.0386797175928633
-0.2	-0.00039	0.0390950456648762
-0.2	-0.00038	0.0392029432000542
-0.2	-0.00037	0.0390643284240002
-0.2	-0.00036	0.0388413057675557
-0.2	-0.00035	0.0384566949364189
-0.2	-0.00034	0.038102801346158
-0.2	-0.00033	0.037964186570104
-0.2	-0.00032	0.0377796249967732
-0.2	-0.00031	0.0376797294319075
-0.2	-0.0003	0.0375873195812048
-0.2	-0.00029	0.0374334752487501
-0.2	-0.00028	0.0375411146558535
-0.2	-0.00027	0.0379412131714656
-0.2	-0.00026	0.0382643895208504
-0.2	-0.00025	0.038656744194225
-0.2	-0.00024	0.0388949964070702
-0.2	-0.00023	0.0389874062577728
-0.2	-0.00022	0.0392029432000542
-0.2	-0.00021	0.0391874555155789
-0.2	-0.0002	0.038772127443566
-0.2	-0.00019	0.0383258240026025
-0.2	-0.00018	0.0383028506039641
-0.2	-0.00017	0.038664229908388
-0.2	-0.00016	0.0389644328591345
-0.2	-0.00015	0.0388413057675557
-0.2	-0.00014	0.0385950515843983
-0.2	-0.00013	0.0386490003519873
-0.2	-0.00012	0.0386182831111113
-0.2	-0.00011	0.0385720781857599
-0.2	-9.99999999999999e-05	0.0387488959168531
-0.2	-8.99999999999999e-05	0.0390028939422482
-0.2	-8e-05	0.0391644821169405
-0.2	-7e-05	0.0390490988675995
-0.2	-5.99999999999999e-05	0.038718178675977
-0.2	-4.99999999999999e-05	0.0384951560195326
-0.2	-3.99999999999999e-05	0.0384182338533052
-0.2	-3e-05	0.0382259284377368
-0.2	-1.99999999999998e-05	0.0381412624292717
-0.2	-1e-05	0.0384412072519436
-0.2	0.0	0.0389104840915455
-0.2	1e-05	0.0390258673408865
-0.2	2.00000000000001e-05	0.0384412072519436
-0.2	3.00000000000001e-05	0.0379182397728273
-0.2	4.00000000000001e-05	0.0380950575039204
-0.2	5.00000000000001e-05	0.0383875166124292
-0.2	6.00000000000002e-05	0.0385258732604086
-0.2	7e-05	0.0387643836013284
-0.2	8e-05	0.0388413057675557
-0.2	9e-05	0.038602795426636
-0.2	0.0001	0.0384182338533052
-0.2	0.00011	0.0383028506039641
-0.2	0.00012	0.0386797175928633
-0.2	0.00013	0.0391797116733413
-0.2	0.00014	0.0391335067479899
-0.2	0.00015	0.0387873569999668
-0.2	0.00016	0.0386257688252744
