bpar	lockin_1_ResX	lockin_2_ResX	lockin_3_ResX
-0.15	436.367	226.946	98.892
-0.147	439.527	226.469	95.7777
-0.144	430.407	233.085	89.6831
-0.141	426.473	236.125	88.1259
-0.138	425.639	214.637	95.9416
-0.135	417.056	228.466	93.3935
-0.132	421.287	226.26	84.043
-0.129	409.128	209.72	86.3378
-0.126	408.651	200.213	85.7641
-0.123	391.485	209.601	81.0553
-0.12	378.432	204.534	82.2921
-0.117	379.743	195.147	79.1182
-0.114	374.498	186.265	71.7272
-0.111	349.523	187.726	66.1691
-0.108	347.318	182.332	58.3904
-0.105	334.861	157.029	60.648
-0.102	327.827	156.105	45.4339
-0.099	323.894	151.307	38.8923
-0.096	317.873	152.678	35.6736
-0.093	313.701	128.687	37.3947
-0.09	310.78	103.683	33.3639
-0.087	309.469	116.289	23.9984
-0.084	289.323	83.0893	21.197
-0.081	284.376	90.3611	12.8002
-0.078	273.349	74.3871	9.51445
-0.075	270.488	55.5816	8.53097
-0.072	270.011	46.6707	-1.2368
-0.069	254.573	49.4125	0.104309
-0.066	244.619	54.7769	-3.01005
-0.063	230.194	26.9116	-0.752512
-0.06	222.684	48.3396	4.99937
-0.057	194.133	12.4276	0.111759
-0.054	188.53	-4.11275	2.05637
-0.051	175.835	-1.1623	0.834469
-0.048	150.622	15.08	0.0670557
-0.045	143.171	-2.86104	-2.16068
-0.042	134.767	5.33464	-2.4289
-0.039	127.078	3.87433	2.13088
-0.036	-0.715259	2.3544	-1.8701
-0.033	-1.01329	-1.57953	-1.885
-0.03	0.298025	14.6628	-3.24102
-0.027	-3.87433	-7.00357	-3.97864
-0.024	-0.774864	-7.77846	-0.84937
-0.021	-6.19891	10.7289	-2.80143
-0.018	2.3842	-7.86787	1.42307
-0.015	0.715259	3.03985	-3.57629
-0.012	-1.43052	-4.55978	-2.07128
-0.00899999999999998	2.20539	-12.5766	1.15485
-0.00599999999999998	-1.01329	-8.52352	-4.33627
-0.003	-3.45708	13.8879	-3.18886
0.0	3.93394	4.35117	-0.409784
0.003	-0.23842	6.13931	5.72208
0.00600000000000001	1.37091	5.84128	1.1474
0.00900000000000001	-0.834469	-10.8779	-5.26014
0.012	0.834469	-1.66894	2.37675
0.015	2.62262	-2.95044	-2.14578
0.018	1.37091	8.07649	-2.22029
0.021	-5.54326	-3.57629	-3.82218
0.024	-2.74183	-0.625852	-2.67477
0.027	1.60933	-6.34792	-3.24102
0.03	0.11921	11.1461	3.77001
0.033	6.0797	-14.0668	4.69389
0.036	-1.1921	7.39101	-2.17558
0.039	5.12603	8.46392	-5.79658
0.042	-3.03985	-1.66894	4.34372
0.045	4.29156	-8.55332	-1.09524
0.048	-1.66894	-9.92423	3.91903
0.051	-4.23196	7.39101	-2.48851
0.054	0.0	-1.31131	-1.12504
0.057	-2.68222	-7.54002	2.84614
0.06	0.0596051	-6.58634	-0.968583
0.063	2.92064	-7.3016	1.11014
0.066	26.8818	7.98708	3.36768
0.069	119.031	-4.61939	-2.25754
0.072	136.138	2.14578	-7.25689
0.075	150.801	-6.0201	-2.09363
0.078	185.014	-15.7059	0.692908
0.081	172.437	-10.103	-4.88016
0.084	236.929	11.6826	-1.97442
0.087	243.367	35.5544	1.54228
0.09	263.812	35.614	-3.29317
0.093	266.435	49.4423	-3.23357
0.096	281.336	55.6114	4.64919
0.099	274.6	54.2405	4.96957
0.102	280.859	60.4095	6.07225
0.105	291.528	109.554	16.0487
0.108	315.668	130.982	21.7856
0.111	314.953	139.029	41.2988
0.114	338.199	130.982	38.9742
0.117	340.94	152.201	45.8288
0.12	353.994	165.642	48.3694
0.123	367.345	155.45	60.797
0.126	370.743	185.699	68.8215
0.129	386.3	196.488	71.6378
0.132	384.452	203.61	73.56
0.135	394.108	209.392	79.8036
0.138	399.83	229.568	84.3038
0.141	418.784	217.886	88.7071
0.144	430.228	233.83	94.4217
0.147	439.467	242.145	92.179
0.15	442.388	233.413	99.041
