bpar	lockin_1_ResX	lockin_3_ResX
-0.15	2053.28	44.4802
-0.147	2041.83	46.0672
-0.144	2041.59	43.4706
-0.141	2042.55	44.1635
-0.138	2042.55	44.5882
-0.135	2054.71	42.0215
-0.132	2042.79	40.2334
-0.129	2053.51	40.509
-0.126	2039.21	39.2648
-0.123	2037.06	38.9854
-0.12	2032.06	36.2548
-0.117	2036.59	34.5188
-0.114	2034.68	36.2622
-0.111	2025.86	32.2538
-0.108	2029.67	27.5933
-0.105	2032.77	26.7142
-0.102	2025.14	24.5684
-0.099	2028.72	19.5095
-0.096	2036.82	16.0449
-0.093	2034.44	14.1301
-0.09	2020.85	10.5426
-0.087	2018.23	4.07922
-0.084	2015.37	1.62051
-0.081	2005.83	2.6636
-0.078	2012.03	2.51459
-0.075	2005.59	2.03402
-0.072	2006.31	0.450762
-0.069	1993.43	1.00211
-0.066	2004.64	2.15696
-0.063	1974.36	1.8105
-0.06	1970.54	1.07662
-0.057	1973.17	-0.264497
-0.054	1975.07	0.540171
-0.051	1978.89	-1.82912
-0.048	1959.1	1.63168
-0.045	1925.48	-0.84937
-0.042	1898.53	-0.484291
-0.039	1654.39	-0.096858
-0.036	1587.16	-1.55345
-0.033	1482.97	-0.771139
-0.03	1203.07	0.298025
-0.027	57.2207	-0.53272
-0.024	3.81473	0.331553
-0.021	-3.81473	-0.283124
-0.018	7.15259	0.495467
-0.015	0.476841	-2.91692
-0.012	-3.33787	-0.547621
-0.00899999999999998	8.58313	-1.207
-0.00599999999999998	-2.62262	0.00745064
-0.003	-5.24524	1.09524
0.0	-3.33787	-0.942502
0.003	-4.52998	-2.45498
0.00600000000000001	-4.52998	-0.152738
0.00900000000000001	-1.66894	-1.19955
0.012	5.96049	0.894073
0.015	0.0	-0.804666
0.018	3.81473	-1.39327
0.021	-1.43052	1.4566
0.024	-5.72208	-1.5013
0.027	2.62262	0.827018
0.03	6.19891	-0.707809
0.033	9.29838	0.257047
0.036	6.19891	-0.812117
0.039	-0.476841	-0.5886
0.042	-1.66894	-2.62262
0.045	4.52998	-1.8701
0.048	-1.1921	-1.63914
0.051	3.09946	-0.0372531
0.054	4.7684	0.823293
0.057	-4.05314	-1.08779
0.06	373.604	0.558797
0.063	1110.56	-0.0745063
0.066	1505.38	-1.54228
0.069	1671.56	-0.309201
0.072	1852.76	1.93717
0.075	1931.2	-0.0521543
0.078	1958.39	0.949953
0.081	1975.55	-2.21284
0.084	1976.74	-1.32994
0.087	1971.26	0.268223
0.09	1976.98	1.546
0.093	1984.85	1.98932
0.096	2000.11	1.65404
0.099	2007.26	2.82751
0.102	2016.56	2.43635
0.105	2010.12	3.93766
0.108	2019.42	5.69972
0.111	2018.71	7.23082
0.114	2031.82	13.8581
0.117	2034.92	16.7341
0.12	2025.86	23.4732
0.123	2036.59	28.5656
0.126	2037.54	30.8345
0.129	2032.29	33.8259
0.132	2033.01	33.39
0.135	2043.5	39.8683
0.138	2047.32	40.2334
0.141	2041.83	39.9465
0.144	2048.51	40.93
0.147	2035.16	45.0166
0.15	2055.66	44.998
