magnet_bpar	lockin_1_ResX	lockin_2_ResX	lockin_3_ResX	lockin_4_ResX	lockin_5_ResX
0.25	13552.026451	7018.9230144	295.46238948	172.51491081	68.313255906
0.24875	13552.825153	7019.6717978	295.28047889	172.60877648	69.224467734
0.2475	13552.154601	7018.9297199	295.39044481	174.19585492	68.484275835
0.24625	13551.941514	7019.57196	295.9651174	171.82630254	68.417779403
0.245	13553.04271	7019.0154016	295.1889066	172.80855682	69.111248013
0.24375	13553.662598	7019.2404091	295.2106297	172.42507311	69.096387597
0.2425	13553.743064	7018.750906	295.59230898	172.45906638	68.611925235
0.24125	13553.355634	7018.6436176	295.72758358	175.28182361	69.551239721
0.24	13552.907109	7018.4327662	295.12890615	175.19640969	68.024953362
0.23875	13553.105295	7018.6667144	295.81680428	170.73287163	67.942100577
0.2375	13553.519547	7017.993927	295.44504359	174.69410086	67.771517206
0.23625	13553.611934	7018.1235671	295.44234276	173.73100854	68.491889397
0.235	13553.915918	7017.6020265	295.16764916	174.5974645	69.057097426
0.23375	13554.364443	7016.620785	295.30955944	172.55290877	67.554495763
0.2325	13552.762568	7016.7087018	295.4245545	174.01644727	69.137825631
0.23125	13552.594185	7015.825063	295.40776741	171.87850317	68.230880424
0.23	13554.561138	7015.9606636	295.45407742	174.41335367	68.937509786
0.22875	13554.410636	7015.7662034	295.84011063	172.05190379	68.770867074
0.2275	13553.506136	7015.8921182	295.39735988	172.32358223	68.238098174
0.22625	13553.217053	7015.6775415	295.0129332	173.63392981	68.156648194
0.225	13553.333282	7015.106827	295.48027087	174.47330756	67.587767262
0.22375	13553.752005	7014.4809783	295.50089967	171.97739799	67.331764149
0.2225	13553.909957	7013.1450891	295.81442941	172.91494878	67.39073433
0.22125	13553.838432	7012.8411055	295.28355226	174.45232952	68.366376217
0.22	13554.267585	7012.925297	295.87205499	171.60880379	68.52936931
0.21875	13554.084301	7013.437897	295.3431569	172.37770371	66.125195008
0.2175	13553.930819	7012.0342076	295.71386985	171.23001162	68.759074202
0.21625	13553.161919	7012.5736296	295.60874682	171.52313376	68.658002419
0.215	13553.573191	7010.3004575	295.2597104	174.47794089	68.056338932
0.21375	13553.212583	7006.8232715	295.48886232	171.17901007	67.979574669
0.2125	13553.385437	7005.1416755	295.23570556	171.79716378	68.756029941
0.21125	13554.042578	7004.3951273	295.51519547	173.56582684	68.507215474
0.21	13553.440571	7003.6552846	295.51475309	171.72294902	67.593227141
0.20875	13552.054763	6997.1308112	295.75165827	171.52392538	68.482576171
0.2075	13552.701473	6995.9014654	295.34997884	173.55678137	67.221838981
0.20625	13552.52713	6995.8403707	295.76637316	173.10689436	68.035902223
0.205	13551.469147	6993.2609797	295.76583765	173.09704563	66.62576925
0.20375	13550.768793	6991.5510714	295.51205225	175.07456942	67.236815812
0.2025	13550.959527	6990.5266166	295.67137826	171.72371736	67.627371754
0.20125	13550.105691	6990.4699922	296.04672454	171.37395917	67.465781467
0.2	13550.208509	6983.7369025	295.77468522	173.21786145	67.063572351
0.19875	13550.584018	6978.9990783	295.51072512	172.8186151	67.662907531
0.1975	13551.525772	6978.4395397	296.00064736	174.71442698	67.243230296
0.19625	13551.072776	6975.0078022	295.96888926	173.52621071	68.189471494
0.195	13549.904525	6973.2658565	295.7588993	172.78933665	66.420756048
0.19375	13549.478352	6963.8483226	295.32082845	172.87611263	66.697923467
0.1925	13549.210131	6961.9111717	296.00285925	172.33232502	66.552782664
0.19125	13550.633192	6959.3563676	295.8365716	173.05358779	67.369092721
0.19	13547.90926	6949.8233497	295.68204191	171.34984955	67.420309642
0.18875	13549.879193	6946.9168782	295.78788672	172.930595	67.350664176
0.1875	13550.86863	6946.0771978	295.81510462	171.94412649	66.244567279
0.18625	13548.867404	6943.2072341	295.59500981	173.92539885	66.168187186
0.185	13548.652828	6939.214468	296.05934396	173.32127318	65.858714515
0.18375	13549.752533	6938.1162524	295.54862995	171.24414444	65.879611066
0.1825	13550.053537	6936.2550974	295.50665058	172.2007175	65.254332731
0.18125	13550.280035	6931.5634668	296.13997322	172.01891169	64.704130637
0.18	13549.822569	6926.9172847	295.14182825	171.4227139	66.047848668
0.17875	13547.925651	6925.4137576	295.95314991	172.7769617	66.790741403
0.1775	13549.672067	6925.2133369	295.81983108	170.17100472	65.422191983
0.17625	13547.01966	6923.4848022	295.86344026	169.39048655	65.288494807
0.175	13549.035788	6922.7345288	295.68334576	171.89746723	66.045089625
0.17375	13547.368348	6919.8429585	295.4473719	170.85581785	66.063879058
0.1725	13547.115028	6919.5628166	295.88581529	170.22126121	65.103068482
0.17125	13546.600938	6918.502599	295.32944318	169.43009105	65.910525154
0.17	13546.653092	6913.9003754	295.71645427	172.13701503	65.458379686
0.16875	13544.696569	6912.1852517	295.52709311	169.24011288	65.94468141
0.1675	13544.884324	6910.5878472	295.4359632	168.98232279	64.904493047
0.16625	13544.712961	6906.7202508	295.7674209	168.85849182	64.75027767
0.165	13544.811308	6906.5667689	294.79835648	169.96208578	64.196193125
0.16375	13544.495404	6904.0380418	293.02656185	169.08812104	64.059509896
0.1625	13544.06029	6899.0156054	293.38300228	168.97043679	63.13281483
0.16125	13543.866575	6898.1841207	293.2036994	170.78933306	64.706179546
0.16	13542.13953	6896.5874612	293.57660096	170.99638935	63.820532523
0.15875	13542.78028	6870.1706827	293.06721408	169.23627118	62.317179982
0.1575	13542.953134	6848.5073745	292.66455676	166.72336496	61.385158915
