,h_s,xi,q
0,0.21,1.0,0.002835358179228072
1,0.22,1.0,0.0055920625220870265
2,0.23,1.0,0.029560909752402012
3,0.24000000000000002,1.0,0.022280911083652027
4,0.25,1.0,0.015151961881578187
5,0.26,1.0,0.013623182835932682
6,0.27,1.0,0.015676478782903736
7,0.28,1.0,0.01276127592035776
8,0.29000000000000004,1.0,0.010911843502839884
9,0.30000000000000004,1.0,0.010369100050465575
10,0.31000000000000005,1.0,0.009049019732492787
11,0.32000000000000006,1.0,0.008256279111126655
12,0.33000000000000007,1.0,0.008001308078529046
13,0.3400000000000001,1.0,0.007849241132281975
14,0.21,3.0,0.002835358179228072
15,0.22,3.0,0.00471906269153963
16,0.23,3.0,0.026368186754916277
17,0.24000000000000002,3.0,0.03616611775742811
18,0.25,3.0,0.03749376881381832
19,0.26,3.0,0.03767718261118665
20,0.27,3.0,0.03601297665270196
21,0.28,3.0,0.03365171564727822
22,0.29000000000000004,3.0,0.031114550593187955
23,0.30000000000000004,3.0,0.028911621529483074
24,0.31000000000000005,3.0,0.026941858753183605
25,0.32000000000000006,3.0,0.025219409767765443
26,0.33000000000000007,3.0,0.02367492330941798
27,0.3400000000000001,3.0,0.022309512701398852
28,0.21,5.0,0.002835358179228072
29,0.22,5.0,0.004204264361851782
30,0.23,5.0,0.015179567139193094
31,0.24000000000000002,5.0,0.025512775907657496
32,0.25,5.0,0.03252420327743087
33,0.26,5.0,0.036651449408982816
34,0.27,5.0,0.03867931879381908
35,0.28,5.0,0.03980719969422553
36,0.29000000000000004,5.0,0.03969457993982618
37,0.30000000000000004,5.0,0.03928788892435206
38,0.31000000000000005,5.0,0.03828806247493121
39,0.32000000000000006,5.0,0.03688973620365502
40,0.33000000000000007,5.0,0.03539623308542409
41,0.3400000000000001,5.0,0.033881012328585335
42,0.21,7.0,0.002835358179228072
43,0.22,7.0,0.003926619367097599
44,0.23,7.0,0.01193751998189085
45,0.24000000000000002,7.0,0.0207883207487261
46,0.25,7.0,0.02786610162213149
47,0.26,7.0,0.03328419223438269
48,0.27,7.0,0.03704846815938747
49,0.28,7.0,0.039808967825934835
50,0.29000000000000004,7.0,0.04140820886342004
51,0.30000000000000004,7.0,0.04255374345332098
52,0.31000000000000005,7.0,0.042791280279321484
53,0.32000000000000006,7.0,0.042380943970845145
54,0.33000000000000007,7.0,0.04150664432978611
55,0.3400000000000001,7.0,0.04048172570607013
56,0.21,9.0,0.002835358179228072
57,0.22,9.0,0.0037657237768798607
58,0.23,9.0,0.010488335890550456
59,0.24000000000000002,9.0,0.018352577013326377
60,0.25,9.0,0.02497054059391598
61,0.26,9.0,0.030494447489067752
62,0.27,9.0,0.03488402571481497
63,0.28,9.0,0.038092433332128244
64,0.29000000000000004,9.0,0.04037310537174988
65,0.30000000000000004,9.0,0.042205469565789154
66,0.31000000000000005,9.0,0.04327637482987044
67,0.32000000000000006,9.0,0.04358138766580854
68,0.33000000000000007,9.0,0.043317509934301175
69,0.3400000000000001,9.0,0.04276666738649192
70,0.21,11.0,0.002835358179228072
71,0.22,11.0,0.0036683455877864536
72,0.23,11.0,0.009710836552673848
73,0.24000000000000002,11.0,0.01691821404733685
74,0.25,11.0,0.023097285781647308
75,0.26,11.0,0.028486491158608882
76,0.27,11.0,0.03304620841563556
77,0.28,11.0,0.036368838674651724
78,0.29000000000000004,11.0,0.03887108807235396
79,0.30000000000000004,11.0,0.040892682310198644
80,0.31000000000000005,11.0,0.04231146224341387
81,0.32000000000000006,11.0,0.043040133466967175
82,0.33000000000000007,11.0,0.043264194769794886
83,0.3400000000000001,11.0,0.043019079189066695
84,0.21,13.0,0.002835358179228072
85,0.22,13.0,0.003605667671467264
86,0.23,13.0,0.009246897363884921
87,0.24000000000000002,13.0,0.016005186168282448
88,0.25,13.0,0.021838768362880158
89,0.26,13.0,0.027057807762197822
90,0.27,13.0,0.03163405033962417
91,0.28,13.0,0.03496820305664067
92,0.29000000000000004,13.0,0.03752655244767511
93,0.30000000000000004,13.0,0.039588123482906766
94,0.31000000000000005,13.0,0.04110708203932263
95,0.32000000000000006,13.0,0.04207324139164292
96,0.33000000000000007,13.0,0.042584043831314256
97,0.3400000000000001,13.0,0.0425442129993133
98,0.21,15.0,0.002835358179228072
99,0.22,15.0,0.003563077188552643
100,0.23,15.0,0.008951124047314492
101,0.24000000000000002,15.0,0.015385595362677827
102,0.25,15.0,0.02096712720922348
103,0.26,15.0,0.026022825198519086
104,0.27,15.0,0.03057041089362665
105,0.28,15.0,0.03388938083395472
106,0.29000000000000004,15.0,0.03643877573129281
107,0.30000000000000004,15.0,0.03848788940757414
108,0.31000000000000005,15.0,0.03999653863662787
109,0.32000000000000006,15.0,0.041080496995371085
110,0.33000000000000007,15.0,0.041776769180039613
111,0.3400000000000001,15.0,0.041879341795929996
112,0.21,17.0,0.002835358179228072
113,0.22,17.0,0.00353282526081808
114,0.23,17.0,0.00875087596215946
115,0.24000000000000002,17.0,0.014944442782723444
116,0.25,17.0,0.02034430159413739
117,0.26,17.0,0.025258840049890353
118,0.27,17.0,0.029767689835055424
119,0.28,17.0,0.033080312402980226
120,0.29000000000000004,17.0,0.03557243309584625
121,0.30000000000000004,17.0,0.03762712969337704
122,0.31000000000000005,17.0,0.039068125175897625
123,0.32000000000000006,17.0,0.040234962538817906
124,0.33000000000000007,17.0,0.04100914123331004
125,0.3400000000000001,17.0,0.04121788930983032
126,0.21,19.0,0.002835358179228072
127,0.22,19.0,0.0035103960369336465
128,0.23,19.0,0.008608607230437177
129,0.24000000000000002,19.0,0.014621509452890907
130,0.25,19.0,0.01987918866117787
131,0.26,19.0,0.024682999272018183
132,0.27,19.0,0.029144537555222262
133,0.28,19.0,0.032454882627066764
134,0.29000000000000004,19.0,0.03489876732763065
135,0.30000000000000004,19.0,0.0369471084310965
136,0.31000000000000005,19.0,0.03832599154781828
137,0.32000000000000006,19.0,0.03952904206223136
