B_ax,x_N_up,nis_th_up,x_N_down,nis_th_down,M_up,M_down
-250.0,0.9890045825425756,0.994275,1.0,0.98085,-0.7918079169432842,-0.7727429763378618
-247.5,1.0,0.992825,1.0,0.977075,-0.7894516735097566,-0.769968288918182
-245.0,1.0,0.99065,1.0,0.97325,-0.7870749856421052,-0.7671682069840228
-242.5,1.0,0.989175,1.0,0.9687250000000001,-0.7846778166708926,-0.7643427049484461
-240.0,1.0,0.987,1.0,0.962025,-0.782260133248377,-0.7614917626246069
-237.5,1.0,0.98605,1.0,0.955625,-0.7798219054162012,-0.7586153653314326
-235.0,1.0,0.981525,1.0,0.947025,-0.7773631066728057,-0.7557135039982998
-232.5,1.0,0.978125,1.0,0.93935,-0.7748837140405067,-0.7527861752685889
-230.0,1.0,0.9755,0.9946312017939952,0.92885,-0.7723837081321865,-0.7498333816019964
-227.5,0.9890045825425756,0.970825,1.0,0.920025,-0.7698630732175358,-0.7468551313754779
-225.0,1.0,0.9662,1.0,0.911025,-0.7673217972887926,-0.7438514389826936
-222.5,1.0,0.9595,1.0,0.897925,-0.7647598721259113,-0.7408223249318181
-220.0,1.0,0.951175,1.0,0.88535,-0.7621772933611035,-0.7377678159415753
-217.5,1.0,0.9463,1.0,0.870125,-0.759574060542681,-0.7346879450353446
-215.0,1.0,0.939425,1.0,0.8507,-0.756950177198134,-0.7315827516331843
-212.5,1.0,0.9319999999999999,1.0,0.832925,-0.7543056508963736,-0.7284522816415923
-210.0,1.0,0.925125,1.0,0.814225,-0.7516404933090614,-0.7252965875408275
-207.5,0.9899837265005194,0.915075,1.0,0.7922750000000001,-0.7489547202709481,-0.7221157284695773
-205.0,1.0,0.906325,1.0,0.767725,-0.7462483518391356,-0.7189097703067489
-202.5,1.0,0.895125,1.0,0.7396750000000001,-0.7435214123511705,-0.7156787857501178
-200.0,1.0,0.8804,1.0,0.709075,-0.7407739304818729,-0.7124228543915391
-197.5,1.0,0.86505,1.0,0.6771499999999999,-0.738005939298789,-0.709142062788367
-195.0,1.0,0.84905,0.9958901825897324,0.643275,-0.7352174763161495,-0.7058365045306674
-192.5,0.99781218765407,0.82885,1.0,0.6131,-0.7324085835471991,-0.7025062803037232
-190.0,1.0,0.80715,0.9686150031138252,0.585275,-0.7295793075547451,-0.69915149794522
-187.5,1.0,0.790675,0.9451167660251246,0.55795,-0.7267296994997497,-0.6957722724963619
-185.0,1.0,0.770325,0.899518898659017,0.523775,-0.7238598151877653,-0.6923687262459793
-182.5,1.0,0.7424,0.833359633842348,0.489275,-0.7209697151129724,-0.6889409887664618
-180.0,1.0,0.71245,0.7216013283317032,0.4567,-0.7180594644995442,-0.68548919694003
-177.5,1.0,0.6866749999999999,0.6569814696697436,0.42765,-0.7151291333399975,-0.6820134949734766
-175.0,0.9881661538839832,0.664675,0.5828494420319966,0.39344999999999997,-0.7121787964301286,-0.6785140343989865
-172.5,1.0,0.6379,0.5385082088058986,0.35892500000000005,-0.7092085334000429,-0.6749909740579786
-170.0,1.0,0.607325,0.5035395185400314,0.326875,-0.706218428740682,-0.67144448006406
-167.5,1.0,0.5786,0.4730482473948719,0.2945,-0.7032085718251143,-0.667874725740063
-165.0,0.9836925799923086,0.551525,0.4324851298838408,0.26980000000000004,-0.7001790569236852,-0.6642818915226988
-162.5,1.0,0.523625,0.4222748308302693,0.23997500000000005,-0.6971299832119137,-0.6606661648264954
-160.0,1.0,0.49360000000000004,0.3699620081109556,0.21477500000000005,-0.6940614547697496,-0.6570277398562794
-157.5,0.9779619494264912,0.46252499999999996,0.3605906384785866,0.18589999999999995,-0.690973580570475,-0.6533668173543341
-155.0,0.7345913213271564,0.43527499999999997,0.3326173289248988,0.16745,-0.6878664744571074,-0.6496836042643387
-152.5,0.4341840918933873,0.4091,0.3121955574898946,0.14485000000000003,-0.6847402551036376,-0.6459783132889582
