B_ax,x_N_up,nis_th_up,x_N_down,nis_th_down,M_up,M_down
-200.0,1.001632281237407,1.0,1.0060025949531004,1.0,-0.986837722598052,-0.9720238192771365
-198.0,1.0083513434589748,1.0,1.0038247111685952,1.0,-0.986279190848648,-0.9708909648121271
-196.0,1.006898161559317,1.0,1.0076367692893011,1.0,-0.9856972392643899,-0.9697134207320336
-194.0,1.010529593056986,1.0,1.0080007652504896,1.0,-0.985090910155501,-0.9684895216428305
-192.0,1.0038120540868876,1.0,1.0047324165780818,1.0,-0.9844592087742049,-0.9672175481160298
-190.0,1.0118015080320537,1.0,1.0061853544315165,1.0,-0.9838011020637545,-0.9658957256065257
-188.0,0.9998165654885696,1.0,1.0118128233711956,1.0,-0.9831155173815788,-0.9645222234096368
-186.0,1.0087138773081543,1.0,1.010359885517755,1.0,-0.9824013411976165,-0.963095153664424
-184.0,1.0034479969862382,1.0,1.0061853544315165,1.0,-0.9816574177691202,-0.9616125704109326
-182.0,1.0072622186599662,1.0,0.9987409516772202,1.0,-0.9808825477934346,-0.9600724687095955
-180.0,1.008170076534385,1.0,1.017077819345337,1.0,-0.9800754870405003,-0.9584727838316567
-178.0,1.0112561840068146,1.0,1.0096349395866906,1.0,-0.9792349449670966,-0.956811390530113
-176.0,1.0038120540868876,1.0,1.0110863544444753,1.0,-0.9783595833151307,-0.9550861024013467
-174.0,1.0061715706094942,1.0,1.0067290638798148,1.0,-0.9774480146965923,-0.9532946713483033
-172.0,1.0112561840068146,1.0,1.0132657612246307,1.0,-0.9764988011681252,-0.9514347871567806
-170.0,1.0098045253586263,1.0,1.0132657612246307,1.0,-0.9755104527985413,-0.9495040771971265
-168.0,1.0083513434589748,1.0,1.0063665909142825,1.0,-0.9744814262329894,-0.9475001062643721
-166.0,1.0116202411074635,1.0,1.0110863544444753,1.0,-0.9734101232579125,-0.9454203765705913
-164.0,1.007806019433736,1.0,1.008363238216022,1.0,-0.972294889371386,-0.9432623279040206
-162.0,1.0058090367603143,1.0,1.0060025949531004,1.0,-0.9711340123639046,-0.9410233379702426
-160.0,1.0147063485798935,1.0,1.0098161760694566,1.0,-0.9699257209152135,-0.9387007229314761
-158.0,1.0114374509314044,1.0,1.005458885504802,1.0,-0.9686681832133205,-0.9362917381607637
-156.0,1.0094404682579834,1.0,1.0096349395866906,1.0,-0.967359505602419,-0.9337935792285611
-154.0,1.0090779344088037,1.0,1.0058213584703344,1.0,-0.9659977312670711,-0.9312033831399246
-152.0,1.0136172237808851,1.0,1.0154436450091358,1.0,-0.9645808389606554,-0.9285182298411392
-150.0,1.0119827749566437,1.0,1.0156248814919018,1.0,-0.9631067417867859,-0.9257351440152343
-148.0,1.0161595304795452,1.0,1.0038247111685952,1.0,-0.9615732860431289,-0.9228510971863718
-146.0,1.0119827749566437,1.0,1.0078180057720674,1.0,-0.9599782501378221,-0.9198630101535484
-144.0,1.0099857922832165,1.0,1.0110863544444753,1.0,-0.9583193435894971,-0.9167677557744331
-142.0,1.010893650157635,1.0,1.0038247111685952,1.0,-0.9565942061227449,-0.9135621621204227
-140.0,1.0083513434589748,1.0,1.008544474698788,1.0,-0.9548004068717373,-0.9102430160241449
-138.0,1.0147063485798935,1.0,0.9996486570867008,1.0,-0.9529354437056138,-0.9068070670406391
-136.0,1.0112561840068146,1.0,1.0179855247548233,1.0,-0.950996742690177,-0.9032510318432903
-134.0,1.0132546899317054,1.0,1.0154436450091358,1.0,-0.9489816577013918,-0.8995715990752507
-132.0,1.0159782635549557,1.0,1.0141734666341171,1.0,-0.9468874702071568,-0.8957654346765485
-130.0,1.0136172237808851,1.0,1.008363238216022,1.0,-0.9447113892348051,-0.8918291877063108
-128.0,1.0143438147307138,1.0,1.0021905368323942,1.0,-0.9424505515427942,-0.8877594966785284
-126.0,1.0110749170822249,1.0,1.0099974125522226,1.0,-0.9401020220160362,-0.8835529964284885
-124.0,1.0059903036849045,1.0,1.0156248814919018,1.0,-0.9376627943053188,-0.8792063255254395
-122.0,1.0118015080320537,1.0,1.0009203584573756,1.0,-0.9351297917322415,-0.8747161342451312
-120.0,1.0127093659064723,1.0,1.0154436450091358,1.0,-0.9324998684820375,-0.8700790931136286
-118.0,1.006898161559317,1.0,1.010723881478943,1.0,-0.9297698111075658,-0.8652919020311661
-116.0,1.0136172237808851,1.0,1.017441815306525,1.0,-0.9269363403686061,-0.8603512999817524
-114.0,1.003993321011477,1.0,1.0080007652504896,1.0,-0.9239961134313815,-0.8552540753307605
-112.0,1.0087138773081543,1.0,1.008544474698788,1.0,-0.9209457264539254,-0.8499970767087425
-110.0,1.0152516726051326,1.0,1.0143547031168831,1.0,-0.9177817175835059,-0.8445772244751825
-108.0,1.006898161559317,1.0,1.0178042882720573,1.0,-0.914500570392787,-0.838991522750744
-106.0,1.010348326132396,1.0,1.010542644996177,1.0,-0.9110987177817208,-0.8332370720006771
-104.0,1.0065356277101374,1.0,1.0118128233711956,1.0,-0.9075725463723111,-0.8273110821452679
-102.0,1.0139797576300646,1.0,1.0118128233711956,1.0,-0.9039184014233345,-0.8212108861652848
-100.0,1.0118015080320537,1.0,1.017259055828103,0.99965,-0.9001325922918196,-0.8149339541609646
-98.0,1.015795473378902,1.0,1.0130845247418645,0.999225,-0.8962113984675565,-0.8084779078115837
-96.0,1.0188831041028013,1.0,1.008908470659976,0.998325,-0.8921510762060783,-0.8018405351682568
-94.0,1.013798490705475,1.0,1.0143547031168831,0.995825,-0.8879478657844222,-0.7950198056939486
-92.0,1.0083513434589748,1.0,1.0268813423669043,0.99125,-0.8835979994024896,-0.7880138854397405
-90.0,1.0199722289018098,1.0,1.0148999355608377,0.98365,-0.8790977097509574,-0.780821152212069
-88.0,1.0132546899317054,1.0,1.0156248814919018,0.972325,-0.8744432392644027,-0.7734402105371129
-86.0,1.0098045253586263,1.0,1.0129017652634484,0.95135,-0.8696308500755856,-0.7658699061584733
-84.0,1.0114374509314044,1.0,1.0045511800953155,0.92325,-0.8646568346836129,-0.7581093397014967
-82.0,1.0112561840068146,1.0,0.9800400880479097,0.876025,-0.8595175273449963,-0.7501578789848794
-80.0,1.0199722289018098,1.0,0.954986809547867,0.815875,-0.8542093161923544,-0.7420151692313255
-78.0,1.0121640418812332,1.0,0.9272088918237092,0.72675,-0.8487286560806693,-0.7336811400838736
-76.0,1.0116202411074635,1.0,0.8968890943538637,0.6194999999999999,-0.8430720821555708,-0.7251560078118238
-74.0,1.015795473378902,1.0,0.801934884345205,0.5116499999999999,-0.8372362241320279,-0.7164402702964543
-72.0,1.0061715706094942,0.999975,0.6091205886210062,0.4022,-0.8312178212650391,-0.7075346911791621
-70.0,1.016886121429374,0.999675,0.4622428877976265,0.29862500000000003,-0.825013737986362,-0.698440267715537
-68.0,1.010348326132396,0.9984,0.3509469344269286,0.20177500000000004,-0.8186209801728911,-0.6891581740760345
-66.0,1.0154329395297224,0.9976,0.2765105218621977,0.119475,-0.8120367120028126,-0.6796896675611773
-64.0,1.0123468320572868,0.9965,0.2169598688147589,0.06794999999999995,-0.8052582733448722,-0.6700359386856393
-62.0,1.0179752462283826,0.994125,0.1804658469656317,0.036050000000000026,-0.7982831976134981,-0.660197876158548
-60.0,1.0172486552785538,0.988525,0.1432477929828319,0.015700000000000047,-0.7911092300073957,-0.6501757026663699
-58.0,1.02505684229913,0.97875,0.1154698752586757,0.008950000000000014,-0.7837343460303194,-0.6399684143538796
-56.0,1.0148876155044837,0.964625,0.0918672501185848,0.004425000000000012,-0.7761567701679917,-0.6295729219332126
-54.0,1.02505684229913,0.942125,0.072440831359952,0.0017249999999999766,-0.7683749945612777,-0.6189827383429085
-52.0,1.0150704056805426,0.900525,0.0577349376293375,0.0008000000000000229,-0.7603877974673222,-0.6081859778051953
-50.0,0.936080677600378,0.8290500000000001,0.0459337012090752,0.00022500000000003073,-0.7521942612286769,-0.5971623108415919
-48.0,0.8855986007277992,0.758825,0.0332247593793275,0.0,-0.7437937893613211,-0.5858783406742608
-46.0,0.8400213935794145,0.671475,0.0270519056961331,0.0,-0.7351861222029891,-0.5742806033426691
-44.0,0.8187750821157084,0.5694,0.0223313806681154,0.0,-0.7263713502964034,-0.5622850160506065
-42.0,0.7759214485905737,0.4677,0.0168846913125091,0.0,-0.7173499242581555,-0.5497610760236188
-40.0,0.3195918670697803,0.3538,0.0141613923245756,0.0,-0.7081226592068459,-0.5365084387508274
-38.0,0.1933904830169929,0.24472499999999997,0.0107118071694016,0.0,-0.698690730738533,-0.5222227541266935
-36.0,0.1550746156124808,0.166875,0.0098040256101344,0.0,-0.6890556576934952,-0.5064471035896164
-34.0,0.1369163918481105,0.10452499999999998,0.0081700340334086,0.0,-0.6792192641530287,-0.4885058614087742
-32.0,0.1147628318105716,0.06207499999999999,0.0047204641081914,0.0,-0.6691836085898889,-0.46742115036659515
-30.0,0.0944252921721603,0.029900000000000038,0.0050835615019423,0.0,-0.658950860827037,-0.44182196470861956
-28.0,0.0802611860797852,0.009425000000000017,0.0029049009896564,0.0,-0.6485230957573922,-0.4098784349835238
-26.0,0.0668239755875311,0.003149999999999986,0.0016340068066814,0.0,-0.6379019539441741,-0.369334353560562
-24.0,0.0555656239938776,0.0011750000000000371,0.0001815563118535,0.0,-0.6270880889290745,-0.31776407574886356
-22.0,0.045941416574176,0.0,0.0,0.0,-0.6160802724000799,-0.2532009242783007
-20.0,0.0374067909289206,0.0,0.0001815563118535,0.0,-0.604873950284385,-0.17516610737223223
-18.0,0.0330487684814249,0.0,0.001815563118535,0.0,-0.5934589178966748,-0.08576681187432976
-16.0,0.0257852961855009,0.0,0.0,0.0,-0.5818155832462778,0.009912772780831233
-14.0,0.021790416887772,0.0,0.0014524535408195,0.0,-0.5699089727945958,0.10484048869981179
-12.0,0.0152532308913817,0.0,0.0,0.0,-0.5576791418382757,0.19222855553676374
-10.0,0.0132558521725761,0.0,0.0,0.0,-0.54502589763809,0.2675714648722266
-8.0,0.0112583668261672,0.0,0.0023602320540957,0.0,-0.5317846278196163,0.32936169130297255
-6.0,0.0096240855595847,0.0,0.000363112623707,0.0,-0.5176884810284893,0.3784798278371783
-4.0,0.0090793251373903,0.0,0.0047204641081914,0.0,-0.5023102863870931,0.41705935864437327
-2.0,0.0083529931403122,0.0,0.0021786757422421,0.0,-0.4849761382891211,0.4475283845452906
0.0,0.0058107930692533,0.0,0.0023602320540957,0.0,-0.46464382732274595,0.4720669279554656
2.0,0.0029053889183694,0.0,0.0021786757422421,0.0,-0.43974920634067655,0.49240857326042653
4.0,0.00090793403699,0.0,0.0054466741256494,0.0,-0.4080546531752461,0.5098366745367066
6.0,0.0014526975056876,0.0,0.0052651178137959,0.0,-0.36660520752413944,0.5252595973549415
8.0,0.0010895193211365,0.0,0.0081700340334086,0.0,-0.31201747206084224,0.5393017638756292
9.9999999999999,0.0021790416887769,0.0,0.0123458444359968,0.0,-0.24142279584990117,0.5523839817066911
12.0,0.0014526975056876,0.0,0.0141613923245756,0.0,-0.15420374747547708,0.5647858127431808
14.0,0.0001815868073981,0.0,0.0172477734763031,0.0,-0.05387354418489959,0.5766908790745024
16.0,0.0,0.0,0.0255994247413921,0.0,0.05157446407357192,0.5882185330869891
18.0,0.0,0.0,0.0277780700237211,0.0,0.152117067079797,0.5994454843077398
20.0,0.0001815868073981,0.0,0.0363112623707068,0.00024999999999997247,0.23967976335113853,0.6104203534186967
22.0,0.0,0.0,0.0442996791724362,0.0006000000000000449,0.31064540022069626,0.6211733756220017
24.0,0.0012711061285347,0.0,0.0535591881465755,0.0015500000000000513,0.3655587859077287,0.6317228310908809
26.0,0.002360628496175,0.0,0.0657233544310669,0.004724999999999979,0.407260279930041,0.6420792894879525
28.0,0.0001815868073981,0.0,0.075164252187538,0.011850000000000027,0.43913507676817637,0.65224840390987
